sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Ni10,58CO,09/23/2025 18:35:00,h,287.7485036558109,73.56789112423434,[287.7485036558109],[[5412.234604467198]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni10_peakData_combined.csv,
Ni10,57CO,09/23/2025 18:35:00,h,8833.127221002092,219.4129264265814,[8833.127221002092],[[48142.03228307642]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni10_peakData_combined.csv,
Ni10,55CO,09/23/2025 18:35:00,h,48464.711545561324,5598.111451043792,"[48464.711545561324, 0.0]","[[31338851.818307634, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni10_peakData_combined.csv,
Ni11,57NI,09/23/2025 18:35:00,h,488800.9950034425,74696.68569625702,"[488800.9950034425, 0.0]","[[5579594854.005407, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni11_peakData_combined.csv,
Ni11,56CO,09/23/2025 18:35:00,h,82.06106425428581,1.9128360124020585,[82.06106425428581],[[3.6589416103422083]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni11_peakData_combined.csv,
Ni11,56NI,09/23/2025 18:35:00,h,320.2847748269431,31.715000274831112,"[320.2847748269431, 0.0]","[[1005.8412424325376, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni11_peakData_combined.csv,
Ni11,58CO,09/23/2025 18:35:00,h,161.5907403135363,37.39840543805786,[161.5907403135363],[[1398.6407293093553]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni11_peakData_combined.csv,
Ni11,57CO,09/23/2025 18:35:00,h,8226.704224514922,245.2277159450601,[8226.704224514922],[[60136.63266763109]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni11_peakData_combined.csv,
Ni11,55CO,09/23/2025 18:35:00,h,123251.62286066647,4031.2594242789796,"[123251.62286066647, 0.0]","[[16251052.54583809, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni11_peakData_combined.csv,
Ni12,57NI,09/23/2025 18:35:00,h,54366.10898107853,14035.143557484707,"[54366.10898107853, 0.0]","[[196985254.6792045, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni12_peakData_combined.csv,
Ni12,56CO,09/23/2025 18:35:00,h,2.952503665717958,0.1355769960992802,[2.952503665717958],[[0.01838112187130424]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni12_peakData_combined.csv,
Ni12,56NI,09/23/2025 18:35:00,h,47.24594910150974,24.011491785290247,"[47.24594910150974, 0.0]","[[576.5517377550609, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni12_peakData_combined.csv,
Ni12,58CO,09/23/2025 18:35:00,h,70.77321768857537,3.964002064044294,[70.77321768857537],[[15.713312363747423]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni12_peakData_combined.csv,
Ni12,57CO,09/23/2025 18:35:00,h,3748.5630924856314,113.51255532132345,[3748.5630924856314],[[12885.100215576516]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni12_peakData_combined.csv,
Ni12,55CO,09/23/2025 18:35:00,h,161164.9731367094,1684.8699226992096,"[161164.9731367094, 0.0]","[[2838786.6564164404, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni12_peakData_combined.csv,
Ni13,57NI,09/23/2025 18:35:00,h,,,[],[],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni13_peakData_combined.csv,
Ni13,56CO,09/23/2025 18:35:00,h,4.146685571574551,0.2548653837946735,[4.146685571574551],[[0.06495636385680621]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni13_peakData_combined.csv,
Ni13,56NI,09/23/2025 18:35:00,h,66.47139150640199,15.962639138937122,"[66.47139150640199, 0.0]","[[254.80584827992726, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni13_peakData_combined.csv,
Ni13,58CO,09/23/2025 18:35:00,h,54.276107694200164,3.0330014202140743,[54.276107694200164],[[9.199097615020593]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni13_peakData_combined.csv,
Ni13,57CO,09/23/2025 18:35:00,h,310.41274216648134,9.536264212891735,[310.41274216648134],[[90.94033513807962]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni13_peakData_combined.csv,
Ni13,55CO,09/23/2025 18:35:00,h,92754.60311179048,848.4154760773145,"[92754.60311179048, 0.0]","[[719808.8200474961, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni13_peakData_combined.csv,
Ni14,57NI,09/23/2025 18:35:00,h,9162.605059485795,776.2967638745399,"[9162.605059485795, 0.0]","[[602636.6656020832, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni14_peakData_combined.csv,
Ni14,56CO,09/23/2025 18:35:00,h,2.4947189068461846,0.45771557223989257,[2.4947189068461846],[[0.2095035450708923]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni14_peakData_combined.csv,
Ni14,56NI,09/23/2025 18:35:00,h,53.68997996861158,24.380216610970322,"[53.68997996861158, 0.0]","[[594.3949619978332, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni14_peakData_combined.csv,
Ni14,58CO,09/23/2025 18:35:00,h,19.609143812450817,1.3740349928843394,[19.609143812450817],[[1.8879721616706664]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni14_peakData_combined.csv,
Ni14,57CO,09/23/2025 18:35:00,h,44.603819363449574,2.656573983799149,[44.603819363449574],[[7.057385331398482]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni14_peakData_combined.csv,
Ni14,55CO,09/23/2025 18:35:00,h,5354.817525865956,218.98703861451781,"[5354.817525865956, 0.0]","[[47955.32308115632, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni14_peakData_combined.csv,
